campaign_id,customer_id,Coupon_redeem,Item_purchased
,492,,131.00
,493,,137.00
,494,9,488.00
,495,1,508.00
,496,3,333.00
,497,10,144.00
,498,13,552.00
,499,4,422.00
,500,,265.00
,501,3,525.00
,502,1,382.00
,503,12,302.00
,504,,270.00
,505,,93.00
,506,3,198.00
,507,,117.00
,508,,373.00
,509,3,133.00
,510,39,691.00
,511,,98.00
,512,1,103.00
,513,1,185.00
,514,,252.00
,515,1,623.00
,516,2,172.00
,517,,139.00
,518,2,470.00
,519,,261.00
,520,13,456.00
,521,1,304.00
,522,,248.00
,523,10,95.00
,524,9,373.00
,525,2,365.00
,526,16,675.00
,527,,187.00
,528,11,738.00
,529,23,223.00
,530,5,556.00
,531,,166.00
,532,,143.00
,533,1,658.00
,534,1,97.00
,535,1,350.00
,536,22,307.00
,537,1,490.00
,538,,400.00
,539,,127.00
,540,,140.00
,541,2,323.00
,542,,46.00
,543,3,331.00
,544,5,258.00
,545,1,277.00
,546,1,458.00
,547,,82.00
,548,,110.00
,549,1,52.00
,550,1,425.00
,551,41,436.00
,552,16,473.00
,553,,576.00
,554,2,294.00
,555,,315.00
,556,26,249.00
,557,1,570.00
,558,,85.00
,559,7,388.00
,560,11,532.00
,561,4,404.00
,562,,113.00
,563,,122.00
,564,18,349.00
,565,29,624.00
,566,145,748.00
,567,5,427.00
,568,1,191.00
,569,1,367.00
,570,11,638.00
,571,1,412.00
,572,1,790.00
,573,,303.00
,574,2,183.00
,575,1,170.00
,576,,184.00
,577,2,444.00
,578,15,853.00
,579,1,193.00
,580,,143.00
,581,,66.00
,582,,247.00
,583,10,545.00
,584,,224.00
,585,,295.00
,586,11,262.00
,587,7,255.00
,588,,168.00
,589,,65.00
,590,1,421.00
,591,4,104.00
,592,1,485.00
,593,2,381.00
,594,1,359.00
,595,5,540.00
,596,8,943.00
,597,,173.00
,598,45,471.00
,599,,197.00
,600,,277.00
,601,1,151.00
,602,,226.00
,603,7,484.00
,604,1,259.00
,605,,156.00
,606,1,341.00
,607,10,194.00
,608,11,385.00
,609,1,216.00
,610,,271.00
,611,2,374.00
,612,,325.00
,613,5,490.00
,614,1,314.00
,615,,191.00
,616,1,327.00
,617,1,167.00
,618,4,274.00
,619,2,654.00
,620,,271.00
,621,2,404.00
,622,1,635.00
,623,,194.00
,624,1,257.00
,625,,324.00
,626,103,1022.00
,627,70,792.00
,628,23,394.00
,629,2,82.00
,630,,161.00
,631,1,273.00
,632,124,664.00
,633,1,430.00
,634,5,240.00
,635,,191.00
,636,7,172.00
,637,1,429.00
,638,11,670.00
,639,2,317.00
,640,,268.00
,641,,140.00
,642,1,166.00
,643,,184.00
,644,,150.00
,645,,267.00
,646,,164.00
,647,1,255.00
,648,,348.00
,649,10,439.00
,650,8,351.00
,651,,243.00
,652,2,324.00
,653,9,209.00
,654,,160.00
,655,1,615.00
,656,2,239.00
,657,20,409.00
,658,2,379.00
,659,14,502.00
,660,,261.00
,661,1,208.00
,662,,75.00
,663,,237.00
,664,4,438.00
,665,2,364.00
,666,,457.00
,667,3,553.00
,668,1,442.00
,669,,313.00
,670,3,132.00
,671,5,114.00
,672,,241.00
,673,1,326.00
,674,,170.00
,675,,179.00
,676,,453.00
,677,1,239.00
,678,,239.00
,679,,348.00
,680,,187.00
,681,1,204.00
,682,16,332.00
,683,1,449.00
,684,10,237.00
,685,1,281.00
,686,,208.00
,687,2,429.00
,688,1,283.00
,689,,315.00
,690,2,189.00
,691,,367.00
,692,5,179.00
,693,1,214.00
,694,1,484.00
,695,13,699.00
,696,,153.00
,697,2,110.00
,698,1,217.00
,699,,433.00
,700,3,339.00
,701,,106.00
,702,1,354.00
,703,1,434.00
,704,10,378.00
,705,1,580.00
,706,72,463.00
,707,1,219.00
,708,3,477.00
,709,1,274.00
,710,9,65.00
,711,2,867.00
,712,30,396.00
,713,3,309.00
,714,1,393.00
,715,5,343.00
,716,1,285.00
,717,5,291.00
,718,1,194.00
,719,2,291.00
,720,1,197.00
,721,,34.00
,722,,212.00
,723,,14.00
,724,1,382.00
,725,19,726.00
,726,2,212.00
,727,,257.00
,728,,88.00
,729,1,478.00
,730,2,181.00
,731,,76.00
,732,,189.00
,733,9,426.00
,734,,94.00
,735,12,663.00
,736,,332.00
,737,19,448.00
,738,,104.00
,739,,130.00
,740,1,281.00
,741,,289.00
,742,3,234.00
,743,2,452.00
,744,,393.00
,745,1,478.00
,746,,264.00
,747,,144.00
,748,184,921.00
,749,2,509.00
,750,2,435.00
,751,,289.00
,752,,266.00
,753,1,338.00
,754,3,370.00
,755,4,475.00
,756,,252.00
,757,10,345.00
,758,,325.00
,759,,141.00
,760,1,337.00
,761,,179.00
,762,3,453.00
,763,6,279.00
,764,,145.00
,765,11,578.00
,766,1,347.00
,767,16,385.00
,768,1,183.00
,769,9,664.00
,770,5,76.00
,771,5,263.00
,772,5,510.00
,773,,235.00
,774,17,271.00
,775,,84.00
,776,19,558.00
,777,,94.00
,778,1,354.00
,779,3,447.00
,780,1,270.00
,781,20,618.00
,782,19,916.00
,783,3,268.00
,784,,421.00
,785,,340.00
,786,,81.00
,787,43,564.00
,788,,252.00
,789,2,361.00
,790,2,304.00
,791,3,455.00
,792,3,362.00
,793,19,699.00
,794,,49.00
,795,1,316.00
,796,,4.00
,797,3,154.00
,798,,73.00
,799,,684.00
,800,1,270.00
,801,5,448.00
,802,15,466.00
,803,10,122.00
,804,,132.00
,805,,325.00
,806,,137.00
,807,,277.00
,808,16,681.00
,809,5,535.00
,810,,440.00
,811,2,413.00
,812,,111.00
,813,6,317.00
,814,9,323.00
,815,,205.00
,816,1,143.00
,817,9,259.00
,818,,47.00
,819,,198.00
,820,3,364.00
,821,3,136.00
,822,,110.00
,823,58,556.00
,824,2,73.00
,825,2,277.00
,826,6,443.00
,827,,82.00
,828,1,462.00
,829,,360.00
,830,,80.00
,831,66,700.00
,832,,832.00
,833,2,341.00
,834,4,499.00
,835,2,307.00
,836,7,141.00
,837,1,183.00
,838,,108.00
,839,1,242.00
,840,1,187.00
,841,,260.00
,842,1,427.00
,843,10,418.00
,844,11,873.00
,845,24,202.00
,846,,186.00
,847,1,122.00
,848,7,391.00
,849,,267.00
,850,2,49.00
,851,1,373.00
,852,,368.00
,853,2,198.00
,854,1,169.00
,855,12,71.00
,856,,106.00
,857,20,246.00
,858,,336.00
,859,27,866.00
,860,,164.00
,861,,345.00
,862,,203.00
,863,,348.00
,864,94,679.00
,865,,412.00
,866,5,535.00
,867,,292.00
,868,,109.00
,869,,431.00
,870,,124.00
,871,30,564.00
,872,2,138.00
,873,1,234.00
,874,26,637.00
,875,14,254.00
,876,10,273.00
,877,3,241.00
,878,15,802.00
,879,28,295.00
,880,,261.00
,881,5,181.00
,882,3,207.00
,883,1,288.00
,884,,82.00
,885,,313.00
,886,,177.00
,887,,34.00
,888,3,246.00
,889,64,655.00
,890,8,432.00
,891,8,335.00
,892,,92.00
,893,,44.00
,894,31,370.00
,895,1,260.00
,896,5,265.00
,897,19,64.00
,898,24,841.00
,899,,193.00
,900,,434.00
,901,107,731.00
,902,,189.00
,903,1,145.00
,904,,139.00
,905,1,204.00
,906,19,206.00
,907,,18.00
,908,,75.00
,909,31,347.00
,910,,186.00
,911,5,1247.00
,912,1,65.00
,913,,311.00
,914,13,247.00
,915,1,249.00
,916,22,297.00
,917,2,400.00
,918,5,421.00
,919,10,279.00
,920,1,296.00
,921,,65.00
,922,1,314.00
,923,1,194.00
,924,1,372.00
,925,,75.00
,926,8,438.00
,927,,410.00
,928,10,665.00
,929,4,104.00
,930,2,583.00
,931,44,352.00
,932,2,156.00
,933,4,273.00
,934,10,828.00
,935,,390.00
,936,2,339.00
,937,,148.00
,938,2,139.00
,939,,239.00
,940,,235.00
,941,2,133.00
,942,1,437.00
,943,3,389.00
,944,9,299.00
,945,,195.00
,946,4,106.00
,947,,304.00
,948,5,608.00
,949,2,245.00
,950,,204.00
,951,13,486.00
,952,4,302.00
,953,,168.00
,954,8,285.00
,955,14,166.00
,956,,321.00
,957,3,755.00
,958,1,740.00
,959,46,576.00
,960,,73.00
,961,6,227.00
,962,33,311.00
,963,,444.00
,964,2,527.00
,965,,253.00
,966,1,301.00
,967,62,459.00
,968,,169.00
,969,,357.00
,970,4,294.00
,971,2,305.00
,972,4,48.00
,973,6,556.00
,974,7,180.00
,975,,162.00
,976,5,217.00
,977,29,426.00
,978,6,396.00
,979,,324.00
,980,,320.00
,981,,33.00
,982,,179.00
,983,3,292.00
,984,1,235.00
,985,2,183.00
,986,,71.00
,987,,445.00
,988,1,255.00
,989,2,720.00
,990,,50.00
,992,,310.00
,993,2,363.00
,994,3,566.00
,995,,145.00
,996,1,76.00
,997,3,446.00
,998,6,504.00
,999,9,203.00
,1000,1,59.00
,1001,9,232.00
,1002,1,197.00
,1003,1,438.00
,1004,1,412.00
,1005,,582.00
,1006,1,272.00
,1007,2,627.00
,1008,,43.00
,1009,50,209.00
,1010,8,85.00
,1011,51,858.00
,1012,3,389.00
,1013,6,139.00
,1014,,343.00
,1015,60,269.00
,1016,2,249.00
,1017,4,717.00
,1018,6,225.00
,1019,,275.00
,1020,,17.00
,1021,,73.00
,1022,10,273.00
,1023,9,780.00
,1024,,154.00
,1025,61,635.00
,1026,3,543.00
,1027,,256.00
,1028,1,305.00
,1029,6,204.00
,1030,,99.00
,1031,,198.00
,1032,,138.00
,1033,5,1087.00
,1034,,136.00
,1035,1,288.00
,1036,,571.00
,1037,,41.00
,1038,,70.00
,1039,3,153.00
,1040,,156.00
,1041,,202.00
,1042,2,250.00
,1043,10,493.00
,1044,21,482.00
,1045,2,395.00
,1046,9,664.00
,1047,1,383.00
,1048,,232.00
,1049,1,143.00
,1050,,182.00
,1051,3,113.00
,1052,50,342.00
,1053,,104.00
,1054,,189.00
,1055,3,595.00
,1056,26,448.00
,1057,,194.00
,1058,,257.00
,1059,2,162.00
,1060,,222.00
,1061,32,636.00
,1062,2,288.00
,1063,14,181.00
,1064,5,711.00
,1065,5,326.00
,1066,2,104.00
,1067,5,319.00
,1068,37,626.00
,1069,,74.00
,1070,51,393.00
,1071,4,579.00
,1072,5,314.00
,1073,5,391.00
,1074,,123.00
,1075,1,154.00
,1076,,203.00
,1077,,205.00
,1078,1,94.00
,1079,,249.00
,1080,1,188.00
,1081,1,221.00
,1082,4,191.00
,1083,6,186.00
,1084,3,481.00
,1085,1,212.00
,1086,53,290.00
,1087,1,387.00
,1088,,93.00
,1089,,313.00
,1090,,90.00
,1091,18,894.00
,1092,,90.00
,1093,25,463.00
,1094,1,297.00
,1095,4,1051.00
,1096,,90.00
,1097,1,367.00
,1098,1,269.00
,1099,23,221.00
,1100,12,427.00
,1101,6,411.00
,1102,,89.00
,1103,2,527.00
,1104,6,358.00
,1105,,279.00
,1106,3,278.00
,1107,,193.00
,1108,,93.00
,1109,1,440.00
,1110,,102.00
,1111,2,163.00
,1112,2,347.00
,1113,4,211.00
,1114,11,305.00
,1115,26,739.00
,1116,,198.00
,1117,4,446.00
,1118,9,277.00
,1119,1,267.00
,1120,,268.00
,1121,1,764.00
,1122,12,557.00
,1123,,358.00
,1124,1,666.00
,1125,1,93.00
,1126,3,171.00
,1127,1,206.00
,1128,1,124.00
,1129,1,374.00
,1130,1,196.00
,1131,38,500.00
,1132,2,206.00
,1133,,177.00
,1134,,181.00
,1135,,644.00
,1136,44,630.00
,1137,3,216.00
,1138,,166.00
,1139,,309.00
,1140,9,683.00
,1141,3,311.00
,1142,34,323.00
,1143,2,195.00
,1144,11,273.00
,1145,7,378.00
,1146,12,644.00
,1147,,298.00
,1148,9,210.00
,1149,2,92.00
,1150,,2.00
,1151,1,151.00
,1152,5,906.00
,1153,1,166.00
,1154,5,563.00
,1155,9,261.00
,1156,2,474.00
,1157,2,1002.00
,1158,,584.00
,1159,27,529.00
,1160,,142.00
,1161,5,157.00
,1162,,172.00
,1163,3,111.00
,1164,4,189.00
,1165,3,202.00
,1166,7,757.00
,1167,4,437.00
,1168,26,410.00
,1169,8,204.00
,1170,2,457.00
,1171,,165.00
,1172,4,124.00
,1173,,150.00
,1174,5,354.00
,1175,2,31.00
,1176,17,192.00
,1177,,113.00
,1178,2,474.00
,1179,1,194.00
,1180,1,60.00
,1181,,149.00
,1182,45,713.00
,1183,,329.00
,1184,10,1279.00
,1185,,209.00
,1186,1,494.00
,1187,24,649.00
,1188,,133.00
,1189,1,256.00
,1190,,191.00
,1191,1,311.00
,1192,2,646.00
,1193,19,395.00
,1194,13,356.00
,1195,,147.00
,1196,2,75.00
,1197,,191.00
,1198,21,329.00
,1199,1,402.00
,1200,,328.00
,1201,,344.00
,1202,21,237.00
,1203,1,392.00
,1204,2,297.00
,1205,2,175.00
,1206,,89.00
,1207,,211.00
,1208,102,346.00
,1209,6,381.00
,1210,9,589.00
,1211,,236.00
,1212,5,344.00
,1213,,85.00
,1214,,190.00
,1215,2,565.00
,1216,5,570.00
,1217,,153.00
,1218,,229.00
,1219,,84.00
,1220,,65.00
,1221,,30.00
,1222,1,231.00
,1223,,98.00
,1224,27,519.00
,1225,,153.00
,1226,8,317.00
,1227,1,227.00
,1228,2,209.00
,1229,9,285.00
,1230,2,212.00
,1231,9,240.00
,1232,2,415.00
,1233,,151.00
,1234,,144.00
,1235,,72.00
,1236,4,508.00
,1237,1,330.00
,1238,5,390.00
,1239,93,712.00
,1240,7,432.00
,1241,2,193.00
,1242,9,102.00
,1243,,365.00
,1244,1,104.00
,1245,,258.00
,1246,1,419.00
,1247,,226.00
,1248,26,381.00
,1249,4,187.00
,1250,29,246.00
,1251,5,210.00
,1252,4,743.00
,1253,1,198.00
,1254,2,280.00
,1255,,184.00
,1256,1,203.00
,1257,81,494.00
,1258,20,315.00
,1259,5,468.00
,1260,8,176.00
,1261,6,331.00
,1262,,85.00
,1263,9,513.00
,1264,1,256.00
,1265,,258.00
,1266,26,309.00
,1267,1,227.00
,1268,1,417.00
,1269,,142.00
,1270,8,462.00
,1271,1,477.00
,1272,1,137.00
,1273,16,401.00
,1274,,163.00
,1275,,87.00
,1276,11,257.00
,1277,,72.00
,1278,,96.00
,1279,,160.00
,1280,3,193.00
,1281,,208.00
,1282,,199.00
,1283,1,221.00
,1284,,208.00
,1285,18,271.00
,1286,,155.00
,1287,,150.00
,1288,,85.00
,1289,1,427.00
,1290,,386.00
,1291,7,534.00
,1292,,278.00
,1293,,91.00
,1294,2,176.00
,1295,7,257.00
,1296,1,333.00
,1297,,222.00
,1298,22,652.00
,1299,1,180.00
,1300,,213.00
,1301,,230.00
,1302,6,282.00
,1303,10,276.00
,1304,1,212.00
,1305,,216.00
,1306,,92.00
,1307,4,142.00
,1308,2,168.00
,1309,16,585.00
,1310,3,224.00
,1311,,403.00
,1312,2,386.00
,1313,,104.00
,1314,4,301.00
,1315,25,455.00
,1316,,80.00
,1317,10,666.00
,1318,2,219.00
,1319,2,546.00
,1320,1,322.00
,1321,40,291.00
,1322,,196.00
,1323,1,385.00
,1324,1,348.00
,1325,2,62.00
,1326,,16.00
,1327,1,197.00
,1328,1,121.00
,1329,,208.00
,1330,,123.00
,1331,,140.00
,1332,6,925.00
,1333,93,267.00
,1334,3,334.00
,1335,23,239.00
,1336,72,776.00
,1337,12,1102.00
,1338,6,144.00
,1339,8,385.00
,1340,,181.00
,1341,48,516.00
,1342,2,255.00
,1343,4,505.00
,1344,9,302.00
,1345,5,381.00
,1346,,380.00
,1347,6,597.00
,1348,,257.00
,1349,18,230.00
,1350,4,381.00
,1351,3,331.00
,1352,1,555.00
,1353,,74.00
,1354,1,154.00
,1355,,204.00
,1356,1,386.00
,1357,13,284.00
,1358,5,77.00
,1359,,76.00
,1360,8,437.00
,1361,31,221.00
,1362,,133.00
,1363,,86.00
,1364,56,331.00
,1365,6,322.00
,1366,,320.00
,1367,13,386.00
,1368,5,574.00
,1369,26,288.00
,1370,,82.00
,1371,4,474.00
,1372,,444.00
,1373,,134.00
,1374,,56.00
,1375,,290.00
,1376,2,86.00
,1377,,553.00
,1378,22,722.00
,1379,3,280.00
,1380,1,167.00
,1381,,171.00
,1382,5,618.00
,1383,2,995.00
,1384,3,515.00
,1385,23,418.00
,1386,10,413.00
,1387,19,795.00
,1388,,333.00
,1389,3,371.00
,1390,2,297.00
,1391,,650.00
,1392,5,903.00
,1393,,534.00
,1394,,180.00
,1395,,117.00
,1396,5,626.00
,1397,,187.00
,1398,2,465.00
,1399,,255.00
,1400,15,289.00
,1401,1,347.00
,1402,,400.00
,1403,,301.00
,1404,20,494.00
,1405,,461.00
,1406,,122.00
,1407,20,494.00
,1408,10,742.00
,1409,,379.00
,1410,,300.00
,1411,1,326.00
,1412,14,317.00
,1413,3,154.00
,1414,6,145.00
,1415,5,388.00
,1416,,115.00
,1417,,138.00
,1418,1,432.00
,1419,1,364.00
,1420,1,253.00
,1421,,61.00
,1422,,155.00
,1423,1,168.00
,1424,8,568.00
,1425,,151.00
,1426,1,150.00
,1427,3,438.00
,1428,3,535.00
,1429,1,133.00
,1430,1,728.00
,1431,6,947.00
,1432,,591.00
,1433,4,165.00
,1434,2,576.00
,1435,,137.00
,1436,,371.00
,1437,5,171.00
,1438,,436.00
,1439,,97.00
,1440,,77.00
,1441,36,569.00
,1442,,98.00
,1443,4,91.00
,1444,12,1154.00
,1445,,131.00
,1446,2,266.00
,1447,1,211.00
,1448,,77.00
,1449,3,979.00
,1450,1,771.00
,1451,,879.00
,1452,18,248.00
,1453,4,358.00
,1454,4,355.00
,1455,2,258.00
,1456,1,148.00
,1457,23,491.00
,1458,5,447.00
,1459,1,167.00
,1460,4,699.00
,1461,4,337.00
,1462,,129.00
,1463,19,817.00
,1464,1,1203.00
,1465,,125.00
,1466,6,1438.00
,1467,1,157.00
,1468,1,264.00
,1469,6,737.00
,1470,3,471.00
,1471,34,423.00
,1472,41,566.00
,1473,2,855.00
,1474,,302.00
,1475,3,797.00
,1476,5,161.00
,1477,3,648.00
,1478,21,202.00
,1479,3,422.00
,1480,6,281.00
,1481,2,466.00
,1482,1,99.00
,1483,3,51.00
,1484,2,187.00
,1485,10,787.00
,1486,,264.00
,1487,2,394.00
,1488,,110.00
,1489,5,230.00
,1490,,649.00
,1491,,213.00
,1492,2,595.00
,1493,3,453.00
,1494,4,557.00
,1495,,118.00
,1496,68,391.00
,1497,,194.00
,1498,2,269.00
,1499,2,308.00
,1500,14,405.00
,1501,,99.00
,1502,3,189.00
,1503,,122.00
,1504,3,366.00
,1505,,109.00
,1506,19,207.00
,1507,9,201.00
,1508,,157.00
,1509,,318.00
,1510,1,80.00
,1511,,163.00
,1512,,137.00
,1513,1,42.00
,1514,2,138.00
,1515,,77.00
,1516,2,458.00
,1517,7,180.00
,1518,45,679.00
,1519,1,216.00
,1520,3,302.00
,1521,8,354.00
,1522,,207.00
,1523,,209.00
,1524,3,672.00
,1525,,182.00
,1526,,245.00
,1527,,155.00
,1528,,293.00
,1529,25,817.00
,1530,11,312.00
,1531,,392.00
,1532,11,408.00
,1533,1,142.00
,1534,25,578.00
,1535,,133.00
,1536,4,271.00
,1537,7,413.00
,1538,2,410.00
,1539,,195.00
,1540,,82.00
,1541,1,109.00
,1542,28,129.00
,1543,8,296.00
,1544,21,769.00
,1545,27,458.00
,1546,,489.00
